ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO;;
1983;;Ana Maria Ballet;;;Troféu Revelação;;96
1983;;Ballet Nella Hasner;Londrina;PR;Troféu Revelação;;97
1984;;Ballet Eliana Karin;Rio de Janeiro;RJ;Troféu Transitório;;115
1985;;Grupo Raça;São Paulo;SP;Troféu Transitório;;116
1986;;Ballet de Pelotas;Pelotas;RS;Troféu Transitório;;117
1987;André Valadão;Ballet Cristina Helena;Belo Horizonte;MG;Troféu Revelação;;98
1987;Fernanda Diniz;Ballet Cristina Helena;Belo Horizonte;MG;Troféu Revelação;;99
1987;;Grupo Raça;São Paulo;SP;Troféu Transitório;;118
1988;Glenda Machado;Grupo do Curso de Dança Clássica do Teatro Guaira;Curitiba;PR;Troféu Revelação;;100
1988;;Grupo de Dança da UFPR;Curitiba;PR;Troféu Transitório;;119
1989;;Grupo de Dança da UFPR;Curitiba;PR;Melhor Coreografia;;45
1989;Sérgio Nunes de Melo Neto;Grupo de Art Ballet;Brasília;DF;Troféu Revelação;;101
1989;;Ballet de Pelotas;Pelotas;RS;Troféu Transitório;;120
1989;;Grupo de Dança da UFPR;Curitiba;PR;Troféu Transitório;;121
1990;;Grupo de Dança Pássaro Azul;São Paulo;SP;Melhor Coreografia;;46
1990;;Grupo Quartier Latin;Santo André;SP;Melhor Coreografia;;47
1990;Daniela Severian;Grupo de Dança Clássica Ilusão e Vida;São Paulo;SP;Troféu Revelação ;;111
1990;Saulo Fujita;Grupo Jovem Ana Verônica;São Paulo;SP;Troféu Revelação ;;113
1990;;Grupo de Dança Pássaro Azul;São Paulo;SP;Troféu Transitório;;122
1991;;Curso de Dança Clássica do Teatro Guaira;Curitiba;PR;Melhor Coreografia;;48
1991;Silvia Gaspar;Grupo Ilussão e Vida;São Paulo;SP;Troféu Revelação;;102
1991;;Curso de Dança Clássica do Teatro Guaira;Curitiba;PR;Troféu Transitório;;123
1992;;Centro de Dança Rio;Rio de Janeiro;RJ;Melhor Coreografia;;49
1992;Andreza Randizek;Grupo Especial;São Paulo;SP;Troféu Revelação;;103
1992;;Grupo de Dança Rio;Rio de Janeiro;RJ;Troféu Transitório;;124
1993;Fernanda Diniz;Corpo de Baile do Ballet Cristina Helena;Belo Horizonte;MG;Excelência Técnica;;11
1993;;Grupo Experimental da Casa da Cultura;Joinville;SC;Melhor Coreografia;;50
1993;;Grupo de Jazz Roseli Rodrigues;São Paulo;SP;Prêmio Especial;;76
1993;Marcelo Gomes;Ballet Dalal Aschcar;Rio de Janeiro;RJ;Troféu Revelação;;104
1993;Joan Boada;Escola Rosana Abubakir;Salvador;BA;Troféu Revelação;;105
1993;;Corpo de Baile do Ballet Cristina Helena;Belo Horizonte;MG;Troféu Transitório;;125
1994;Liris da Costa;;;;Excelência Técnica;;12
1994;Douglas Gawriljuk;;;;Excelência Técnica;;13
1994;;Grupo Camaleão;Belo Horizonte;MG;Melhor Coreografia;;51
1994;;Móbilis Companhia de Dança;Niteroi;RJ;Prêmio Especial;;77
1994;Hermann Maximiliano;Cornejo;Argentina;;Troféu Revelação;;106
1994;;Centro Mineiro de Danças Clássicas;Belo Horizonte;MG;Troféu Transitório;;126
1995;;Grupo Muovere;Cruz Alta;RS;Melhor Coreografia;;52
1995;;Dança de Rua do Brasil;Santos;SP;Prêmio Especial;;78
1995;;Mimulus Dança de Salão;Belo Horizonte;MG;Prêmio Especial;;79
1995;Verônica Gordilho;Ballet da Bahia;Salvador;BA;Troféu Revelação;;112
1995;Rodrigo Negri;Márcia Marques Grupo de Dança;Rio de Janeiro;RJ;Troféu Revelação;;114
1995;;Dança de Rua do Brasil;Santos;SP;Troféu Transitório;;127
1996;;Grupo Beth Dorça;Uberaba;MG;Melhor Coreografia;;53
1996;;Academia Dança de Rua do Brasil;Santos;SP;Prêmio Especial;;80
1996;;Grupo de Dança Roseli Rodrigues;São Paulo;SP;Prêmio Especial;;81
1996;;Grupo Enigma Arte e Dança;São Paulo;SP;Prêmio Especial;;82
1996;Willian Pedro da Silva;Escola de Dança Hortência Mollo;Rio de Janeiro;RJ;Troféu Revelação;;107
1996;;Grupo Muovere;Cruz Alta;RS;Troféu Transitório;;128
1997;;Ginga Cia de Danças;Campo Grande;MS;Melhor Coreografia;;54
1997;;Ginga Cia de Danças;Campo Grande;MS;Prêmio Especial;;83
1997;Thiago Bordin;Grupo KR;São Paulo;SP;Troféu Revelação;;108
1997;;Dança de Rua do Brasil;Santos;SP;Troféu Transitório;;129
1998;Eddy Tovar Hernandes;Grupo Dançarte;Goiania;GO;Bailarino Revelação;;1
1998;Sheila Âreas Coelho Reis;Grupo Ame;Três Rios;RJ;Coreógrafo Revelação;;2
1998;;Dança de Rua do Brasil;Santos;SP;Troféu Transitório;;130
1999;Priscila Yokoi;Grupo Especial;São Paulo;SP;Melhor Bailarina;;31
1999;Howard Quintero;Paula Castro Cia de Dança;São Paulo;SP;Melhor Bailarino;;32
1999;;Balé da Cidade de Teresina;Teresina;PI;Melhor Coreografia;;55
1999;Jaime Dias;Cia Jovem Paula Castro;São Paulo;SP;Troféu Revelação;;109
1999;Maria Clara Silva;Cia Jovem Paula Castro;São Paulo;SP;Troféu Revelação;;110
1999;;Paula Castro Cia de Dança;São Paulo;SP;Troféu Transitório;;131
