ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO
1983;;Academia Ballet Santo André;Santo André;SP;Menção Honrosa
1983;;Ballet Helfany Peçanha;Niteroi;RJ;Menção Honrosa
1983;;Stúdio de Dança Cristina Helena;Belo Horizonte;MG;Menção Honrosa
1983;;Ana Maria Ballet;;;Troféu Revelação
1983;;Ballet Nella Hasner;Londrina;PR;Troféu Revelação
;;;;;
1984;;Ballet Eliana Karin;Rio de Janeiro;RJ;Troféu Transitório
1985;;Ballet Metropolitano de São Paulo;São Paulo;SP;Menção Honrosa
1985;;Grupo Raça;São Paulo;SP;Troféu Transitório
;;;;;
1986;;Ballet de Pelotas;Pelotas;RS;Troféu Transitório
1987;;Grupo da Universidade do Paraná;Curitiba;PR;Troféu Home & Halpe
1987;André Valadão;Ballet Cristina Helena;Belo Horizonte;MG;Troféu Revelação
1987;Fernanda Diniz;Ballet Cristina Helena;Belo Horizonte;MG;Troféu Revelação
1987;;Grupo Raça;São Paulo;SP;Troféu Transitório
1988;Glenda Machado;Grupo do Curso de Dança Clássica do Teatro Guaira;Curitiba;PR;Troféu Revelação
1988;;Grupo de Dança da UFPR;Curitiba;PR;Troféu Transitório
1989;;Grupo de Dança da UFPR;Curitiba;PR;Melhor Coreografia
1989;Sérgio Nunes de Melo Neto;Grupo de Art Ballet;Brasília;DF;Troféu Revelação
1989;;Ballet de Pelotas;Pelotas;RS;Troféu Transitório
1989;;Grupo de Dança da UFPR;Curitiba;PR;Troféu Transitório
1990;;Grupo de Dança Pássaro Azul;São Paulo;SP;Melhor Coreografia
1990;;Grupo Quartier Latin;Santo André;SP;Melhor Coreografia
1990;;Grupo Dorcinha;Uberaba;MG;Menção Honrosa
1990;Daniela Severian;Grupo de Dança Clássica Ilusão e Vida;São Paulo;SP;Troféu Revelação Feminino
1990;Saulo Fujita;Grupo Jovem Ana Verônica;São Paulo;SP;Troféu Revelação Masculino
1990;;Grupo de Dança Pássaro Azul;São Paulo;SP;Troféu Transitório
1991;;Curso de Dança Clássica do Teatro Guaira;Curitiba;PR;Melhor Coreografia
1991;;Balé Infantil do Rio de Janeiro;Rio de Janeiro;RJ;Menção Honrosa
1991;;Grupo Folclórico Amigos do Chimarrão;Joinville;SC;Menção Honrosa
